judul_translate,narasi_translate,label
TIDAK Terima Dipecat Yansen Binti ungkap Pembakaran Sekolah Perintah Prabowo,TIDAK Terima Dipecat Yansen Binti ungkap Pembakaran Sekolah Perintah Prabowo”,1
: Bahaya Sinar Kosmik Yang Melewati Bumi Malam Hari,Bahaya Sinar Kosmik Yang Melewati Bumi Malam Hari,1
Lowongan Pekerjaan di PT Badak LNG,"Postingan foto Lowongan Pekerjaan di PT Badak LNG. Lowongan Pekerjaan ITU meliputi Bagian Pemasaran, perdagangan, Dan CS. Adapun, Tingkatan lowongan ITU Mulai dari Tingkatan Dari SMK / SMA Hingga S1. Dalam postingan ITU dikatakan bahwa untuk review melamar Pekerjaan tersebut Harus mengirimkan berkasnya Ke domain ptbadakngl.com",1
Lowongan Kerja PT. Badak LNG,Lowongan Kerja PT. Badak LNG,1
GUDANG Senjata ISRAEL MELEDAK,ALLAHU AKBAR GUDANG Senjata Milik ISRAEL MELEDAK,1
RATUSAN TUBUH ANAK KECIL Didalam MOBIL VAN DI THAILAND,Kemarin di Thailand di temukan Satu buah mobil van Yang Berisi 100 anak-Anak Dalam Kondisi Meninggal Dan dibungkus plastik,1
Menteri Energi Jepang Membungkuk Selama 20 Menit sebagai Bentuk Permintaan Maaf,"“MENTERI ENERGI JEPANG MEMBUNGKUK SELAMA 20 Menit, sbgai PERMINTAAN MAAF KPD RAKYAT KRN LISTRIK PADAM SLM 20 MNT pic.twitter.com/djvz1Xg2K9
 00,43 - 2 Jul 2016“",1
Tersangka Corona Yang Melarikan Diri Dari RS Persahabatan Merupakan driver Ojek online,"Hati-hati JIKA Kontak Fisik dgn orangutan Penyanyi, dia Sudah dinyatakan positif corona Dan Kabur Waktu di rawat di RS, Sekarang dia Jadi buron krn Takut menyebarkan virus corona sebab dia Masih Tetap kerja (gojek) Bagi Yang mengenali ATAU Bertemu orangutan Penyanyi Segera laporkan agar TIDAK menyebar virusnya, terimakasih.",1
Jokowi Nyatakan Indonesia Di-Lockdown,"Mon, Baru Saja Breaking News di TV One, Katanya Presiden RI nyatakan Indonesia di-kuncian. Anggota Anggota Kabinet virus diperintahkan cek conora Beserta Seluruh Jajaran di bawahnya.
 
 Wajah DENGAN mata berputar: Keknya Presiden Mulai taat sama Anis, Min !!
 
 Woy Wajah DENGAN udara mata bahagia",1
Profesor Chen Horin mengatakan Lemon Panas DAPAT membunuh sel Kanker,"Virus Corona ATAU COVD-19 akan mencapai gatra mana Saja Cepat ATAU Lambat, Dan TIDAK ADA keraguan bahwa Banyak gatra TIDAK memiliki kit ATAU Peralatan Diagnostik Canggih. Silakan gunakan vitamin C Alami sebanyak mungkin untuk review memperkuat Sistem kekebalan Tubuh Andari. Sebelumnya Saat ini, virus TIDAK mengandung Vaksin ATAU Perawatan KHUSUS. Sayangnya, KARENA Mutasi genetik Yang membuatnya Sangat Berbahaya. Penyakit Penyanyi tampaknya disebabkan Oleh penggabungan gen ANTARA ular Dan Kelelawar, Dan Telah memperoleh kemampuan untuk review menginfeksi mamalia, termasuk Manusia.",1
Warga Cina Lempar Kucing Dan Anjingnya Dari Apartemen KARENA Hoaks Kucing Dan Anjing menularkan Virus Corona,"Takut Virus Corona, Warga Cina Lempar Anjing Dan Kucing Dari Apartemen",0
Surat Ajakan Debat Terbuka Yang Diadakan Pengurus Cabang Muhammadiyah Jember,"Sebelumnya Kami mohon maaf Yang sebesar-besarnya, Maksud Kedatangan surat Penyanyi Adalah Kami sebagai shalat Satu Pimpinan Muhammadiyah Cabang Jember bermaksud untuk review mengajak DIALOG / Debat Terbuka TENTANG activities-activities Yang Sudah terlaksana di majelis Yang Telah kiyai / ustadz bina, yakni pembacaan dzikir Bersama, tahlil tawassul Dan lain-lain Yang * Menurut Kami SEMUA ITU bertentangan DENGAN Ajaran-Ajaran Yang Sudah Dibawa Oleh rosulullah shollallahi 'alaiki wasaallam, apabila bapak kiyai / ustadz berkenan MENERIMA Tantangan Kami Maka Kami akan Datang PADA Acara rutinan Yang bapak kiyai / ustadz pimpin.",1
Shoppe Bantah Umumkan Pemenang Jutawan Shoppe,"WASPADA PENIPUAN Yang mengatasnamakan Shopee !! : X :: x :: x: Info Segala Berlangganan Pemenang Kuis akan Diumumkan through akun social media Resmi Shopee. JIKA Sobat Shopee menemukan modus penipuan tersebut, Segera lapor Ke Mimin ya! 😉 # Shopeecare # InfoMimin",1
"Muncul Isu Penculikan Di Purbalingga, parties Kepolisian Nyatakan TIDAK Benar","Dan Kalian kaum intelek pemuja Jae, masihkah Kalian Terus Menutup Mata Dan telingamu demi Sebuah rasa banggamu differences Sosok sederhananya ??",1
Moeldoko: Pendukung Prabowo yg TIDAK mau mengakui kemengan Jokowi Harus di tangkap,Moeldoko: Pendukung Prabowo yg TIDAK mau mengakui kemengan Jokowi Harus di tangkap ... !!,1
Ketua KPUD Bekasi Meninggal Dunia,"Innalilahi wainnalillahi rojiun

Akhirnya Ketua KPUD BEKASI Meninggal DUNIA ..

TRAGIS",1
SESAR Batui DAN Balantak PICU Gempa DAN TSUNAMI,Naudzubillahiminzhaliq ... jauhkan segala mara bahaya ya allah..waspada utk wilayah batui dan balantak ..,1
Bersatu Untuk nomor SATU,Iwan Fals Dan kawan kawan mengajak Seluruh society Yang Mencintai Indonesia Bersatu untuk review nomor SATU..Iwan Fals Sudah Dukung Jokowi .. Bagaimana DENGAN kamu? .. Tentu dong .... nomor 1 Pasti KUALITAS bagus ... Kalo 2 Berarti barang Kawe-an,1
Jokowi akan BEKERJA Sama DENGAN Beberapa Bank MENGGUNAKAN Dana Nasabah untuk review Proyek Besar,"Assallamuallaikum .. Sampaikan Ke Rekan Tgl 29-2 Februari Saya HARAP Tarik * Semua Dana Yang Andari & Keluarga Miliki Yang Tersimpan Di BCA, BNI & MANDIRI Agar Dana Kalian TIDAK Di Pakai PADA Rencana Mendatang! Karna Jokowi & Bank Bank Tersebut BEKERJA Sama Untuk Proyek Besar!",1
Ketua KPU Adalah Saudara Kandung Soe Hok Gie,"Eta terangkanlah ....
Arief Budiman (Ketua KPU) Adalah Saudara Kandung Soe Hoek Gie, nama di lahir Arief Budiman Adalah Soe Hok Djin ..",1
Indonesia Baru Mengetahuinya,Banyak Yang Tik Tau Kisah Tragis YG Membuat Prabowo Turun Ke Malaysia SewA PENGAJA MAHAL DI SANA,1
emas Fireworm,Ulat bulu laut Yang Menyerang sisir Pantai Thailand mula Terdapat di Pantai PD,1
KEPULANGAN Timnas BRASIL DISAMBUT LEMPARAN BATU DAN TELUR DARI Penggemar,"“Pulang Ke Brasil, Neymar dkk dilempari baru Oleh penggemar !!”",1
sindrom Juling,hati2 para Orang Tua yg pny bayi Umur dibawah 4 Tahun Jangan biasakan Anak Andari lihat youtube.,1
KH Asep Saifuddin Chalim Bantah Sebut Orang Yang Menyarankan Memilih Gus Ipul Telah berkhianat,"Itu Istilah tipuan, ITU Sangat keji Sekali. Saya Punya rambu, Saya Punya Upaya keras untuk review TIDAK PERNAH mengatakan orangutan",0
Pemerintah Jokowi Harus Hati2 Lanjutkan Proyek Kereta Cepat Pasca Putusan Pengadilan Tiongkok,Pemerintah Jokowi Harus Hati2 Lanjutkan Proyek Kereta Cepat Pasca Putusan Pengadilan Tiongkok,1
"Ketum PAN, Zulkifli Hasan Sebut Habib Rizieq sebagai Tokoh Ulama Penggadai Agama",Ketum PAN: Habib Rizieq Tokoh Ulama Penggadai Agama. Wooowww beneran APA gimana Suami ?. Ada yg can bantu menjelaskan ?.,1
Michael Essien Gabung Persebaya Surabaya,"Sebuah foto DENGAN aksen warna putih, hijau Dan kuning Yang Disertai foto Michael Essien Dan Lambang Persebaya Surabaya didalamnya.",1
SARI ROTI Berubah NAMA MENJADI GARMELIA,Tadi Saya Ke Indomart liat sari roti ... Sekarang sari roti ganti nama di Lagi kawan kawan ... Namanya Garmelia ... dulu Namanya sari roti eh Sekarang garmelia ahahaha ayo kitd boikot garmelia,1
#PleaseSaveBurma Oleh @ 1st_Allah,"#TolongSelamatkanBirma Saya malu Menjadi Manusia, mengapa kitd TIDAK can menghentikan #Genosida Terhadap Manusia. #MuslimRohingnya",1
"Kristenisasi di Rusun di DKI, Dan Mencantumkan Video Anak-Anak Berjilbab Yang Sedang Menyanyikan Lagu Rohani Nasrani","Bantu share Dari Seorang Ustd yg sedih di Rusun ..
 Assalamu'alaikum warohmatullohi wabarokaatuh ...
 * Mohon PERHATIAN PARA KYAI, ustadz, DAI & PARA Pejuang Islam ... !!! *
 ?
 * KRISTENISASI DIMULAI DI- RUSUN², YANG LUPUT PERHATIAN DAN PUBLIKASI MEDIA *",1
Isu Perbedaan Surat Al Hujurat 8 PADA Al Quran Sumbangan Kerajaan Arab,"Tolong perhatikan Al Qur'an Sumbangan Arab Saudi Yang dibagikan gratis ,, ayat2nya Banyak diubah ,,, BANDINGKAN DENGAN Al Qur'an Yang dulu ,,,",0
"Foto 1 Agustus 2020, Jutaan Warga Jerman turun-Ke jalan menolak kemerdekaannya dirampas DENGAN Dalih virus sepele.","1 Agustus 2020, Jutaan Warga Jerman turun-Ke jalan menolak kemerdekaannya dirampas DENGAN Dalih virus sepele. Kenapa menolak wajib masker? KARENA JIKA menerimanya Begitu Saja, Maka kitd akan dipertemukan dgn Kewajiban baru Lagi; wajib Vaksin. JIKA wajib Vaksin BERHASIL Maka akan disusul dgn wajib Penyanyi wajib ITU Hingga kitd Benar-Benar 100% di Bawah Kontrol “mereka",1
Foto Presiden Jokowi Bersama Pelawak di Istana Negara Dikaitkan DENGAN Covid-19,Tim COVID-19. !! Jagan lupa jaga jarak. Makai masker.😷 nyuci serbi ... 😂 Awas COVID-19 di udara..bisa OTG.PDP.ODP ..,1
Fanpage Facebook Bantuan Samsung Pendidikan Adakan Program Bantuan Pendidikan,Kami sebagai Tim Resmi Samsung Indonesia bertujuan untuk review membantu Siswa / siswi Indonesia Yang Membutuhkan ponsel untuk review Pembelajaran dirumah Beroperasi secara online KARENA Pandemi Corona Virus / COVID-19.,1
Akhirnya Bocor JUGA Bapaknya Jokowi Yang Asli,"Akhirnya Bocor also A.1 Bpk-nya Jokowi yg asli. Mirip Banget .. !!! KLW Cebong Ngebantah, Gua gampar Muka jelek-nya satu-satu. !!!",1
Foto Surat Dari Pulau Golkar!,Surat Dari Pulau Golkar!,1
"Di Italia, ketika Gereja Dibuka Kembali, hampir SEMUA jemaatnya Sudah Meninggal KARENA COVID","Video Diatas Adalah kisah Yang sebenarnya yg sedang Terjadi di Italia. Ketika Gereja Dibuka Kembali, Ternyata hampir SEMUA jemaatnya Sudah berada hearts Kerajaan Sorga. Meninggal KARENA COVID. Mereka Harus Sudah Mulai memikirkan penjangkauan generasi berikutnya",1
Kompensasi Listrik Oleh PLN KARENA Bekerja Dari Rumah,"Bulan Penyanyi ADA kompensasi, Dari PLN KARENA PADA WFH, click link yang dibawah: https://layanan.pln.co.id/InfoTmp.html
 Lumayan Tambahan Listrik dikit. KHUSUS Banten, DKI Jakarta, Jawa Barat",1
"Luhut: Jokowi Sholat Jumat Sampai 4 rakaat, Prabowo Kalah Jauh","Luhut: Jokowi Sholat Jumat Sampai 4 rakaat, Prabowo Kalah Jauh,",1
"Gambar Perempuan berjilbab syiar. Tulisannya, istri dan doughter dari Panglima Polim.","Beberapa Waktu Yang Lalu, Saya hendak Mencari potret Perempuan Indonesia zaman dulu. KARENA Saya industri tahu pencarian pakai bahasa Indonesia engga akan membuahkan hasil temuan, Saya pakai bahasa Inggris. “Melayu Wanita pakaian abad ke-19.”",1
"Pemilu Belum Dilaksanakan, TAPI Sudah Tau Menang","Lha iya gk Aneh ... .Pemilu aja Belum di laksanakan TAPI sdh tau Menang,",1
Calon PNS Diminta Siapkan Uang Sebesar Rp750.000,"Sehubungan DENGAN Telah ditetapkannya Surat Pengantar Calon Pegawai Negeri Sipil Tahun Anggaran 2019, Bersama Suami Kami Sampaikan PADA Peserta Calon Pegawai Negeri Sipil di Lingkungan Pemerintah Provinsi / Kota / Kabupaten Yang akan mengikuti Pembekalan Dari Tanggal 26 Dan 27 November 2019.",1
"Disebut Alami Kebocoran Pipa, PDAM Bandarmasih Nyatakan TIDAK Benar","Humas PDAM Bandarmasih, M. Nur Wahid: “Media beberapa Iya sosial Yang Transfer memposting pipa diameter PE 800 mm bocor ITU hoax, TIDAK Benar Dan Sangat eresahkan SEMUA pelanggan PDAM,”.",1
Kejadian Kapal fery makassar Ke Selayar Tenggelam jam 2 siang hari Penyanyi,Semoga saudara kita diberikan Keselamatan Kejadian Kapal fery makassar Ke Selayar Tenggelam jam 2 siang hari Penyanyi,1
Pentingnya Membaca Seluruh Isi Berita Bukan Hanya Judul Beritanya,Isi artikel PADA situs riausky.com tersebut menyatakan keheranan Kapolri Jenderal (Pol) Tito Karnavian KARENA TIDAK ADA Perkebunan sawit maupun Tanaman Industri lainnya Yang Ikut Terbakar. Bukan KARENA TIDAK ADA Kebakaran Lahan Dan hutan Beroperasi keseluruhan.,0
Hadiah Cek Tunai Rp.75.000.000 WhatsApp,"Selamat! Kpd Andari sebagai. Pengguna setia WhatsApp. No.WhatsApp Andari Beruntung Memenangkan Hadiah Cek Tunai
 Sebesar Rp.75.000.000, - Dari program promo undian PT.WHATSAPP INC INDONESIA Mencari Google Artikel KODE PIN (2547AFR)",1
Demo di Hongkong KARENA menolak campur serbi fihak Negara China Komunis,"Minggu 09 Juni, Lebih Dari 1 juta Orang Hongkong melakukan demo menolak kebijakan Rezim Pemerintahan Hongkong sebelumnya Saat ini. [Mengatakan TIDAK ke Cina]
 Mereka menolak campur serbi fihak Negara Cina Komunis Yang Sudah merugikan Rakyat Hongkong.",1
HASIL penyadapan MABES POLRI TENTANG RENCANA Densus 88 UTK MELAKUKAN Penangkapan Perwira TNI AKTIF,* Ijin MELAPORKAN HASIL penyadapan MABES POLRI * TENTANG * RENCANA Densus 88 UTK MELAKUKAN Penangkapan Perwira TNI AKTIF *,1
Sinyal Internet Untuk Di Berhentikan Di Seluruh Indonesia,"Mohon ijin Info Sekedar, menginformasikan bahwa sinyal internet untuk review di berhentikan di Seluruh Indonesia Mulai Pukul 18 00 Pukul Sampai 20 00.",1
Pesan AJAKAN KONVOI RESMI AREMA,Mohon perhatiannya untuk review aremania Dan aremanita bahwasanya untuk review KONVOI RESMI Tanggal 21 hari minggu mulai Balaikota malang jam 11 siang.,1
Dana haji Dipakai Oleh Pemerintah Jokowi untuk review Membangun Infrastruktur,"Masihkah SAHABAT Bermain TIK-TOK sekalipun Bukan tuk pamer aurat?
Seorang Jurnalis muda Dari amerika Bernama “Fira Aziz” Datang Ke Negeri Bambu (Cina) Mencari kantor Tik-tok, menggali information kemanakah keuntungan Aplikasi tik-tok mereka salurkan ...",1
PKS Ajak Dukung Poligami through Situs Web dukungpoligami.com,#PKSDukungPoligami. Mari Ikut Mendukung Poligami Bersama PKS. Partai Keadilan Sejahtera berkomitmen untuk review melegalkan poligami diseluruh provinsi di Indonesia! DAFTARKAN Dukungan!,1
Video Kampanye Capres 01 Bahasa Mandarin,"SEPERTINYA ADA YANG Aneh ...
Bukan menyudutkan shalat Satu paslon TAPI Mimin Jadi bingung, kenapa campaign pake bahasa mandarin, kan Penyanyi Indonesia Bukan di Cina. Apa mungkin Supaya Tenaga kerja Asing mengerti Cara mencoblos yang Benar?",1
PWNU JAWA TIMUR SIAP MENANGKAN PRABOWO SANDI,"Wahai saudaraku, Saya Sekarang berada di Depan kantor PWNU Jatim. Penyanyi membuktilan kalau Warga NU Jawa Timur mendukung Pasangan Prabowo-Sandi,",1
"Tercyduk di Mall, Istri Sandi Langsung Kosongkan Tas Seharga 70 Juta","Tercyduk di Mall, Istri Sandi Langsung Kosongkan Tas Seharga 70 Juta, Drama Pencitraan? ...",1
PERKELAHIAN UTANG COLLECTOR VS WARGA DI Wiyung SURABAYA,Judul Postingan: Debt Collector vs Warga di Wiyung Surabaya,1
Parties Keluarga almarhumah Siswi SMPN 2 Semen Bantah SA Meninggal hearts Kondisi Telinga Berdarah Dan HP Berantakan di Lantai,"Media Diantaranya through Whatsapp, siswi berinisial SA tersebut diisukan Meninggal hearts Kondisi Telinga berdarah Dan handphone (HP) berantakan di Lantai.",0
Racun Vaksin APA yg Kalian tebarkan,Racun Vaksin APA yg Kalian tebarkan untuk review Generasi pembenteng Negeri Kami,1
Novotel Semarang Adalah Saksi Bisu Permainan **** Sudirman Said & Ida Fauziyah,Novotel Semarang Adalah Saksi Bisu Permainan,1
"Seperti kata Cak Lontong; Warga Jateng, Pilih nomor 2 ...","Seperti kata Cak Lontong; Warga Jateng, Pilih nomor 2 untuk review Pilgub Jateng 27 Juni 2018",1
Klarifikasi Pemerintah Provinsi Aceh Terkait Isu Penerapan Hukuman pancung ATAU Qisas,"Kepala Bidang Bina Hukum Syariat Islam dan Hak Asasi Manusia Dinas Syariat Islam Provinsi Aceh, Syukri M Yusuf pun membantah ISU tersebut. Ia mengatakan, ISU tersebut Muncul lantaran shalat PERSEPSI Dari Wartawan Associated Press mewawancarainya Penghasilan kena pajak. PADA Wawancara ITU, Syukri mengatakan, Dirinya Memang menyinggung Wacana hukum pancung. Namun, Hal ITU Masih sebatas Wacana Dan butuh Penelitian LEBIH lanjut. “INI baru Wacana. Penelitiannya dilakukan Tahun Suami, Jadi Kami lihat dulu respon 'masyarakat baru Nanti can disimpulkan,”ujarnya.",0
Video Planet Nibiru | Video dari Planet Nibiru,"Sesi Facebook hidup Yang Sudah Selesai tersebut Dibuat DENGAN Cara mengulang (loop) Video DENGAN durasi 21 detik using Sumber Yang sebelumnya Sudah distributes di Internet, shalat Satunya di Youtube di tautan Penyanyi: https://goo.gl/ebNMBm, Mengenai Teori Konspirasi “ planet Nibiru”.",1
Manfaat Air Hangat,"“???????
* M A N F A A T *
* AIR HANGAT *
(Agak Panas dikit)
* Sekelompok Dokter Jepang menegaskan bahwa Air Hangat Adalah% Efektif hearts menyelesaikan beberapa masalah kesehatan, termasuk:? *
_ * Sakit kepala, migrain, Tekanan Darah Tinggi, Tekanan Darah randah, Nyeri Sendi, Tiba-Tiba MENINGKAT Dan Penurunan Detak Jantung, epilepsi, meningkatnya Tingkat Kolesterol, batuk, ketidak nyamanan Fisik, sakit golu, asma, hooping batuk .... ..",0
GARAM Palsu YANG Ternyata Serpihan KACA,"Distributes Video DENGAN narasi:
 INFO PENTING !!!!!!!!!!
 
 Berhenti mengkonsumsi garam tersebut karna Penghasilan kena pajak di cek dilarutkan kedalam air Ternyata ITU Adalah serbuk kaca Yang dihaluskan
 
 Semoga bermanfaat ya Saudara Sekalian
 
 Saat SS Suami Dibuat Telah dibagikan sebanyak 58K di Seperti sebanyak 2,4K",1
"Rekomendasi Pengacara M. Mahendra Maskur Sinaga, Guna Antisipasi Pelanggaran privasi","Media Buat Teman2 Sosial,
 Direkomendasi Oleh Pengacara Bpk M. Mahendra Maskur Sinaga, SH., MH., MHD (Wakabid. Advokasi Lembaga Eksekutif Aliansi Indonesia Badan Penelitian Aset Negara DPD Prov. Sumut). Saya also Setuju utk antisipasi.
 Pelanggaran privasi DAPAT dituntut Beroperasi hukum.",1
Tanggapan Polri Terkait Isu Sipil Papua Bersenjata Yang Ingin Menyatakan Perang,"Kira-kira kalau mereka agamanya Islam akan dicap sebagai APA?
 Semoga Indonesia Tetap Utuh tak ter bercerai-berai.",1
Video Beberapa Wanita India Protes Mencari Google Artikel Cara Bakar Jilbab,Video Beberapa Wanita India Protes Mencari Google Artikel Cara Bakar Jilbab,0
: Patung kubawa Garuda Disertai Pancasila Dalam Tulisan Cina,Patung kubawa Garuda Disertai Pancasila Dalam Tulisan Cina,1
Perlawanan Pekerja Asing China Saat Bendera RRC Diturunkan TNI,Upaya Penurunan Bendera Cina ATAU Republik Rakyat Cina Beroperasi Paksa Oleh Aparat TNI namun dihalang2i Oleh oknum perusahan ... mana ITU Pendukung penista agama yg triak2 Makar Makar Makar ITU mana ... yg menuduh Ummat Islam Makar ITU mana ?? Inilah makar Yang Sesungguhnya Makar ...,0
: Cuitan Di Twitter Karyawan PT Adhi karya Terhadap Gus Mus Bijak bersosial Media,"@gusmusgusmu Dulu gk ADA aspal Gus di padang pasir, wahyu Pertama TENTANG shalat jumat jga Saat Rasullullah hijrah Ke Madinah. Bid'ah ndasmu!",0
Panglima TNI AKAN DIGANTI,Presiden akan segera melakukan mengganti Panglima TNI,1
: Satpol PP Pasang Spanduk Untuk Kampanye Ahok - Djarot,"Baru also Diumumkan September 2016 18 ... Belum Resmi PT Dan Jadwal Kampanye, Sudah langgar Aturan. Sejak Kapan Satpol PP Malah pasang spanduk Kampanye ?? Biasanya Satpol PP ITU tugasnya Tertibkan Dan turunkan spanduk Kampanye / iklan Yang langgar Aturan Keindahan kota. Mana Bawaslu / Panaslu APA Sudah disuap Ahok?”",1
PDIP Beri Surat Rekomendasi Untuk Fachrori-Safrial,Rekom PDIP Buat Jambi,1
Foto Tenaga Medis Merangkai Kata Bacot!,Bacot!,1
"Inilah kebijakan yg merusak Dan menjerumuskan Generasi penerus bangsa, ... menjauhkan Nilai agama","Inilah kebijakan yg merusak Dan menjerumuskan Generasi penerus bangsa, ... menjauhkan Nilai agama",1
Foto Pupuk cendana Memang Jamian MUTU,Pupuk cendana Memang Jamian MUTU Cocok Untuk Tanaman dr arab,1
Surat Panggilan Wawancara Kerja Oleh PT Angkasa Pura II Juni 2020,"hasil temuan Berdasarkan Evaluasi tim Seleksi Terhadap lamaran kerja Saudara Yang kamu terima, DENGAN Penyanyi Kami Sampaikan bahwa Berkas lamaran Saudara memenuhi persyaratan Yang ditetapkan, sehingga Saudara DAPAT mengikuti tes Seleksi Calon Karyawan PT Angkasa Pura II (Persero) Untuk DAPAT mengikuti Seleksi Penyanyi Saudara di wajibkan membawa KTP / SIM (Kartu identity asli) erta Surat Panggilan Tes Yang Sudah di kirim via E-Maol Ke masing-masing Peserta (Surat Mohon di Print)",1
Pasien Covid-19 di Cimahi Kabur Dari Rumah Sakit,"JIKA ADA orangutan Penyanyi berkeliaran di Daerah Andari, bahwa ibu positif covid-19 yg Telah Kabur dr rs di Daerah cimahi, bilih ngontrak tong di Tampi dia orangutan pojok. Info Waspada Terpercaya ada hoaks, sebarkan",1
Video 150 Pemuda Dan Wanita di Selandia Baru Yang Baru MASUK Islam,"Masya Allah, ya Allah Alhamdulillah 150 pemuda Dan wanita di Selandia baru Yang baru MASUK Islam bergetar Dan Menangis mendengar Suara Panggilan Berdoa dan Doa Semoga Allah membimbing saudaraku Yang baru MASUK Islam di Selandia baru Amiin ...",1
"Modus Menghabisi Ustadz, disuntik covid-19 sampai mati","Ustadz yg sehat can Saja divonis PDP, dimasukkan RS, disuntik covid-19 sampai mati, dikantongi plastik Langsung dikubur Oleh RS. TIDAK ADA Yang Bisa protes.",1
Enam Penumpang Kapal di Pelabuhan Samudera terduga Positif Corona,"Info SEMENTARA Pelabuhan samudera, Kapal Dari sulawesi, 6 orangutan Yang terduga positif corona Dan Seluruh Penumpang diamankan Dan Langsung disterilisasi. Bahaya, sebagian Penumpang ADA Yang Sudah turun-. #BUKANHOAX",1
Mencakup biaya Tilang Baru di Indonesia,"BIAYA Tilang terbaru di Indonesia: Kapolri baru mantap
 1. TIDAK ADA STNK
 Rp. 50.000
 2. Tdk bawa SIM
 Rp. 25.000",1
Penyanyi Gunung Dieng Salatiga,Lihat baik2..ini Bukan gn.Fuji.di jepang ... Bukan also Pegunungan Alpen di eropa ... TAPI Penyanyi gn.Dieng Salatiga ... Indonesia..suhu -9 ° C.,1
Pemusnahan babi massal di Thailand,"di Media Viral Sosial:
Pemusnahan babi massal di Thailand. ...",1
SURAT wakalah INFRA STRUKTUR DANA HAJI,"SURAT wakalah INFRA STRUKTUR DANA HAJI ..

“Ada yg Harus ditanda tangani Lagi pak” kata cs Bank Tempat Saya mendaftarkan jamaah haji itu ..
“APA mbak ..? ”
“SURAT wakalah BAHWA Jamaah HAJI merelakan UANG HAJINYA UNTUK Dipakai DANA INFRA STRUKTUR” ...",1
Rekening Gendut Jokowi DI LUAR NEGERI TIDAK DILAPORKAN,TIDAK ADA Satu pun Rekening di luar negeri Atas Nama Jokowi,1
Pernyataan Sikap Netral Universitas Indonesia,UI mengingatkan Dan mengimbau segenap sivitas akademika Dan Orang UI termasuk para alumni UI untuk review menyampaikan hak konstitusionalnya Atas Nama Pribadi Dan TIDAK using nama di gede Institusi UI.,0
PESTA GAY DI MUSIM CITY JAKARTA BARAT,MUSIM CITY JAKARTA BARAT,1
"Begal di Jembatan Sambaliung, Berau, Kalimantan Timur",Kejadian Tepat Pukul 01.35 yg berlokasikan di Jembatan Sambaliung berau-kaltim,1
Klarifikasi Kenapa sholat di Tempat ibadah agama Lain? apakah hearts keadaan Darurat?,Min tolong Penyanyi dicek min APA Benar Penyanyi Aliran Sesat Islam nusantara ???,0
Pelayanan SIM Libur Selama 2 Minggu,"Tolong disebarkan ..
 Bagi Yang Punya SIM dgn masa Berlaku Juni 2018, sebaiknya Segera ajukan perpanjangan Sekarang KARENA Mulai tgl 11 Juni 2018 LAYANAN perpanjangan sim akan Ditutup selama 2 minggu. Kalau SIM terlanjur mati Harus bikin baru Lagi ya ...
 Biasanya lebaran Libur Panjang.
 Coba dicek Sim nya sampe tgl berapa.
 Kalo Sekitar liburan mendingan diperpanjang SEBELUM 11 Juni.
 Catatan: Lewat Waktu 1 hari Harus bikin SIM baru",1
"Mengandung Cacing, BPOM Kepri Tarik 3 Merek Sarden Dari Peredaran","“Penghasilan kena pajak ISU Penyanyi Berkembang KUAT, kami diperintahkan untuk review menarik
Produk sarden kaleng Dari peredaran. Ada 3 Merek Yang kitd tarik.
Penarikan Sudah Mulai dilakukan hari Penyanyi,”ujar Kepala BPOM Kepri, Yosef
 Dwi Irwan.",0
Klarifikasi Gedung DPR TIDAK Terjadi Kebakaran,"Hal Yang sebenarnya Terjadi, * Menurut Damayanti, yakni Terjadi malfungsi Dari alat pemadam api Ringan (APAR). “TIDAK ADA Kebakaran, namun malfungsi Dari APAR Yang Berupa aerosol Tiba-Tiba BEKERJA Tanpa ADA Kebakaran,” ujarnya.",0
"Polda Metro ungkap Komplotan Skimming Nasabah melalui ATM, Modusnya?","Polda Metro ungkap Komplotan Skimming Nasabah melalui ATM, Modusnya?",0
Cacing Hidup di Produk Ikan Supermarket | Worms hidup di Supermarket Ikan Produk,Omg memeriksa out🤤🤤🤤🤤 ini,0
Ketum MUI: Jangan Gunakan Nama Muslim untuk review Sebar Hoax,Ketum MUI: Jangan Gunakan Nama “Muslim” untuk review Sebar Hoax,0
Razia STNK PADA Tanggal 28 Februari 2018,"Razia STNK
 Dimulai Besok pagi
 28/02/2018
 Pemda, Dishub
 kerja sama DENGAN POLRI,
 akan menggelar razia Pajak STNK
 mobil & motor yang
 di Seluruh Kabupaten,
 di Seluruh Kotamadya,
 di Seluruh Propinsi,
 di Indonesia [...]
 Bagi Kendaraan Yang telat Bayar Pajak.
 Lengkapi surat2 Kendaraan Andari,
 MHN ditertibkan atribut2 TNI / Polri yg Terpasang di Kendaraan Andari ....",1
Balada Cinta Segi Tiga Ahok Veronica: Ahok Lemah Syahwat,"Balada Cinta Segi Tiga Ahok ..”‘
 ≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠
 Veronica: Ahok Lemah Syahwat",0
Pesan Berantai Catut Kepolisian Soal Nama-nama Kiai Yang Menjadi Sasaran PKI,"“Itu hoax, kitd akan selidiki siapa Yang menyebarkan information tersebut. Kami tegaskan Polsek Cisaat TIDAK PERNAH mempublikasikan ATAU MEMBUAT Data-data yang semacam ITU, Suami meresahkan,”kata Budi Saat dimintai Konfirmasi detikcom di Mapolsek Cisaat, Kota Sukabumi, Jawa Barat, Selasa (13/2/2018).",1
